Set,Option,R1,R2
C01,R37,3.76E+04,9.67E+02
C01,R75,7.55E+04,9.67E+02
C02,R37,3.75E+04,1.00E+03
C02,R75,7.50E+04,1.00E+03
C03,R37,3.75E+04,1.00E+03
C03,R75,7.50E+04,1.00E+03
C04,R37,3.75E+04,1.00E+03
C04,R75,7.50E+04,1.00E+03
C05,R37,3.75E+04,1.00E+03
C05,R75,7.50E+04,1.00E+03
C06,R37,3.75E+04,1.00E+03
C06,R75,7.50E+04,1.00E+03
C07,R37,3.75E+04,1.00E+03
C07,R75,7.50E+04,1.00E+03
C08,R37,3.75E+04,1.00E+03
C08,R75,7.50E+04,1.00E+03
C09,R37,3.75E+04,1.00E+03
C09,R75,7.50E+04,1.00E+03
C10,R37,3.75E+04,1.00E+03
C10,R75,7.50E+04,1.00E+03
C11,R37,3.75E+04,1.00E+03
C11,R75,7.50E+04,1.00E+03
C12,R37,3.75E+04,1.00E+03
C12,R75,7.50E+04,1.00E+03
C13,R37,3.75E+04,1.00E+03
C13,R75,7.50E+04,1.00E+03
