Set,Trace,Size,Side,Option
C01,0,260,A,R37
C01,1,260,B,R37
C01,2,260,A,R75
C01,3,260,B,R75
C01,4,180,A,R37
C01,5,180,B,R37
C01,6,180,A,R75
C01,7,180,B,R75
C02,0,260,A,R37
C02,1,260,B,R37
C02,2,260,A,R75
C02,3,260,B,R75
C02,4,180,A,R37
C02,5,180,B,R37
C02,6,180,A,R75
C02,7,180,B,R75
C03,0,260,A,R37
C03,1,260,B,R37
C03,2,260,A,R75
C03,3,260,B,R75
C03,4,180,A,R37
C03,5,180,B,R37
C03,6,180,A,R75
C03,7,180,B,R75
C04,0,260,A,R37
C04,1,260,B,R37
C04,2,260,A,R75
C04,3,260,B,R75
C04,4,180,A,R37
C04,5,180,B,R37
C04,6,180,A,R75
C04,7,180,B,R75
C05,0,260,A,R37
C05,1,260,B,R37
C05,2,260,A,R75
C05,3,260,B,R75
C05,4,180,A,R37
C05,5,180,B,R37
C05,6,180,A,R75
C05,7,180,B,R75
C06,0,260,A,R37
C06,1,260,B,R37
C06,2,260,A,R75
C06,3,260,B,R75
C06,4,180,A,R37
C06,5,180,B,R37
C06,6,180,A,R75
C06,7,180,B,R75
C07,0,260,A,R37
C07,1,260,B,R37
C07,2,260,A,R75
C07,3,260,B,R75
C07,4,180,A,R37
C07,5,180,B,R37
C07,6,180,A,R75
C07,7,180,B,R75
C08,0,260,A,R37
C08,1,260,B,R37
C08,2,260,A,R75
C08,3,260,B,R75
C08,4,180,A,R37
C08,5,180,B,R37
C08,6,180,A,R75
C08,7,180,B,R75
C09,0,260,A,R37
C09,1,260,B,R37
C09,2,260,A,R75
C09,3,260,B,R75
C09,4,180,A,R37
C09,5,180,B,R37
C09,6,180,A,R75
C09,7,180,B,R75
C10,0,260,A,R37
C10,1,260,B,R37
C10,2,260,A,R75
C10,3,260,B,R75
C10,4,180,A,R37
C10,5,180,B,R37
C10,6,180,A,R75
C10,7,180,B,R75
C11,0,260,A,R37
C11,1,260,B,R37
C11,2,260,A,R75
C11,3,260,B,R75
C11,4,180,A,R37
C11,5,180,B,R37
C11,6,180,A,R75
C11,7,180,B,R75
C12,0,260,A,R37
C12,1,260,B,R37
C12,2,260,A,R75
C12,3,260,B,R75
C12,4,180,A,R37
C12,5,180,B,R37
C12,6,180,A,R75
C12,7,180,B,R75
C13,0,260,A,R37
C13,1,260,B,R37
C13,2,260,A,R75
C13,3,260,B,R75
C13,4,180,A,R37
C13,5,180,B,R37
C13,6,180,A,R75
C13,7,180,B,R75
